Table Name,Field Name,Description (English),Required,Example Value,Notes,,,
users,id,User ID,Yes,1,Primary Key,,,
users,username,Username,Yes,admin123,Unique,,,
users,email,Email Address,Yes,user@example.com,Unique,,,
users,password_hash,Encrypted Password,Yes,,Hashed password,,,
users,full_name,Full Name,No,Ahmed Ali,,,,
users,role,User Role,Yes,"super_admin, admin, developer, client, viewer",,,,
users,is_active,Active Status,Yes,TRUE,,,,
users,last_login,Last Login Time,No,,,,,
users,created_at,Creation Date,Yes,,,,,
users,updated_at,Last Update Date,Yes,,,,,
clients,id,Client ID,Yes,1,Primary Key,,,
clients,client_name,Client Name,Yes,,,,,
clients,company_name,Company Name,No,Tech Solutions Ltd,,,,
clients,email,Email Address,No,client@company.com,,,,
clients,phone,Phone Number,No,9.67E+11,,,,
clients,address,Address,No,,,,,
clients,country,Country,No,Saudi Arabia,,,,
clients,status,Client Status,Yes,"active, suspended, inactive",,,,
clients,notes,Notes,No,Some Notes,,,,
clients,created_by,Created By User ID,No,,Foreign Key to users,,,
clients,created_at,Creation Date,Yes,,,,,
clients,updated_at,Last Update Date,Yes,,,,,
service_providers,id,Provider ID,Yes,1,Primary Key,,,
service_providers,provider_name,Provider Name,Yes,Namecheap,,,,
service_providers,provider_type,Provider Type,Yes,"registrar, hosting, cdn, ssl, other",,,,
service_providers,website_url,Website URL,No,https://www.namecheap.com,,,,
service_providers,support_email,Support Email,No,support@provider.com,,,,
service_providers,support_phone,Support Phone,No,-5489,,,,
service_providers,api_endpoint,API Endpoint,No,https://api.provider.com,,,,
service_providers,notes,Notes,No,,,,,
service_providers,created_at,Creation Date,Yes,,,,,
service_providers,updated_at,Last Update Date,Yes,,,,,
domains,id,Domain ID,Yes,1,Primary Key,,,
domains,domain_name,Domain Name,Yes,example.com,Unique,,,
domains,tld,Top Level Domain,No,.com,,,,
domains,status,Domain Status,Yes,"active, expired, pending, suspended, deleted",,,,
domains,registrar_id,Registrar ID,No,,Foreign Key to service_providers,,,
domains,client_id,Client ID,No,,Foreign Key to clients,,,
domains,registration_date,Registration Date,No,1/15/2024,,,,
domains,expiry_date,Expiry Date,No,1/15/2025,,,,
domains,auto_renew,Auto Renew,Yes,TRUE,,,,
domains,renewal_notification_days,Notification Days Before Expiry,Yes,30,,,,
domains,whois_privacy,WHOIS Privacy Protection,Yes,TRUE,,,,
domains,nameservers,Nameservers,No,"ns1.example.com, ns2.example.com",,,,
domains,notes,Notes,No,,,,,
domains,created_at,Creation Date,Yes,,,,,
domains,updated_at,Last Update Date,Yes,,,,,
domain_costs,id,Cost ID,Yes,1,Primary Key,,,
domain_costs,domain_id,Domain ID,Yes,,Foreign Key to domains,,,
domain_costs,cost_amount,Cost Amount,yes,,150,,,
domain_costs,currency,Currency,Yes,USD,,,,
domain_costs,billing_cycle,Billing Cycle,Yes,"monthly, yearly, 2years, 3years, 5years",,,,
domain_costs,purchase_date,Purchase Date,No,1/15/2024,,,,
domain_costs,next_billing_date,Next Billing Date,No,1/15/2025,,,,
domain_costs,payment_method,Payment Method,No,Credit Card,,,,
domain_costs,notes,Notes,No,,,,,
domain_costs,created_at,Creation Date,Yes,,,,,
domain_costs,updated_at,Last Update Date,Yes,,,,,
whois_history,id,History ID,Yes,1,Primary Key,,,
whois_history,domain_id,Domain ID,Yes,,Foreign Key to domains,,,
whois_history,registrant_name,Registrant Name,No,Ahmed Ali,,,,
whois_history,registrant_email,Registrant Email,No,owner@example.com,,,,
whois_history,registrant_organization,Registrant Organization,No,Tech Company,,,,
whois_history,admin_contact,Admin Contact,No,,,,,
whois_history,tech_contact,Technical Contact,No,,,,,
whois_history,whois_data,Complete WHOIS Data,No,,JSON format,,,
whois_history,captured_at,Capture Date,Yes,,,,,
servers,id,Server ID,Yes,1,Primary Key,,,
servers,server_name,Server Name,Yes,Production Server 1,,,,
servers,provider_id,Provider ID,No,,Foreign Key to service_providers,,,
servers,server_type,Server Type,Yes,"shared, vps, dedicated, cloud",,,,
servers,ip_address,IP Address,No,192.168.1.100,,,,
servers,location,Geographic Location,No,Frankfurt - Germany,,,,
servers,operating_system,Operating System,No,Ubuntu 22.04 LTS,,,,
servers,control_panel,Control Panel,No,"cpanel, plesk, directadmin, custom, none",,,,
servers,control_panel_url,Control Panel URL,No,https://server.com:2083,,,,
servers,cpu_cores,CPU Cores,No,4,,,,
servers,ram_gb,RAM in GB,No,8,,,,
servers,storage_gb,Storage in GB,No,500,,,,
servers,bandwidth_gb,Bandwidth in GB,No,1000,,,,
servers,status,Server Status,Yes,"active, maintenance, suspended, terminated",,,,
servers,notes,Notes,No,,,,,
servers,created_at,Creation Date,Yes,,,,,
servers,updated_at,Last Update Date,Yes,,,,,
server_accounts,id,Account ID,Yes,1,Primary Key,,,
server_accounts,server_id,Server ID,Yes,,Foreign Key to servers,,,
server_accounts,account_name,Account Name,Yes,website_account,,,,
server_accounts,username,Username,Yes,user123,,,,
server_accounts,password_encrypted,Encrypted Password,No,,Encrypted,,,
server_accounts,access_level,Access Level,Yes,"root, admin, user, ftp_only",,,,
server_accounts,control_panel_url,Control Panel URL,No,https://cpanel.example.com,,,,
server_accounts,ssh_port,SSH Port,Yes,22,,,,
server_accounts,ftp_port,FTP Port,Yes,21,,,,
server_accounts,notes,Notes,No,,,,,
server_accounts,created_at,Creation Date,Yes,,,,,
server_accounts,updated_at,Last Update Date,Yes,,,,,
server_costs,id,Cost ID,Yes,1,Primary Key,,,
server_costs,server_id,Server ID,Yes,,Foreign Key to servers,,,
server_costs,cost_amount,Cost Amount,Yes,,50,,,
server_costs,currency,Currency,Yes,USD,,,,
server_costs,billing_cycle,Billing Cycle,Yes,"monthly, yearly, 2years, 3years, 5years",,,,
server_costs,activation_date,Activation Date,No,1/1/2024,,,,
server_costs,next_billing_date,Next Billing Date,No,2/1/2024,,,,
server_costs,auto_renew,Auto Renew,Yes,TRUE,,,,
server_costs,payment_method,Payment Method,No,PayPal,,,,
server_costs,notes,Notes,No,,,,,
server_costs,created_at,Creation Date,Yes,,,,,
server_costs,updated_at,Last Update Date,Yes,,,,,
server_monitoring,id,Monitoring ID,Yes,1,Primary Key,,,
server_monitoring,server_id,Server ID,Yes,,Foreign Key to servers,,,
server_monitoring,cpu_usage,CPU Usage Percentage,no,,45.5,,,
server_monitoring,ram_usage,RAM Usage Percentage,no,,60.25,,,
server_monitoring,storage_usage,Storage Usage Percentage,no,,75,,,
server_monitoring,bandwidth_usage,Bandwidth Usage,no,,250.5,,,
server_monitoring,uptime_percentage,Uptime Percentage,no,,99.95,,,
server_monitoring,response_time_ms,Response Time in MS,No,150,,,,
server_monitoring,recorded_at,Recording Date,Yes,,,,,
websites,id,Website ID,Yes,1,Primary Key,,,
websites,website_name,Website Name,Yes,My Website,,,,
websites,domain_id,Domain ID,No,,Foreign Key to domains,,,
websites,client_id,Client ID,No,,Foreign Key to clients,,,
websites,server_account_id,Server Account ID,No,,Foreign Key to server_accounts,,,
websites,website_type,Website Type,Yes,"wordpress, spa, custom, mobile_app, static, ecommerce",,,,
websites,framework,Framework,No,Laravel 10,,,,
websites,environment,Environment,Yes,"development, staging, production",,,,
websites,website_url,Website URL,No,https://www.example.com,,,,
websites,admin_url,Admin Panel URL,No,https://www.example.com/admin,,,,
websites,api_endpoint,API Endpoint,No,https://api.example.com,,,,
websites,database_name,Database Name,No,website_db,,,,
websites,database_type,Database Type,No,MySQL 8.0,,,,
websites,status,Website Status,Yes,"active, maintenance, suspended, archived",,,,
websites,description,Website Description,No,Some Description,,,,
websites,notes,Notes,No,,,,,
websites,created_at,Creation Date,Yes,,,,,
websites,updated_at,Last Update Date,Yes,,,,,
custom_field_definitions,id,Definition ID,Yes,1,Primary Key,,,
custom_field_definitions,entity_type,Entity Type,Yes,"website, domain, server, client",,,,
custom_field_definitions,field_name,Field Name,Yes,php_version,Unique per entity,,,
custom_field_definitions,field_label,Field Label,Yes,PHP Version,Display name,,,
custom_field_definitions,field_type,Field Type,Yes,"text, textarea, number, date, select, radio, checkbox, url, email",,,,
custom_field_definitions,field_options,Field Options,No,"[""7.4"", ""8.0"", ""8.1""]",For select/radio/checkbox,,,
custom_field_definitions,is_required,Is Required,Yes,FALSE,,,,
custom_field_definitions,default_value,Default Value,No,8.1,,,,
custom_field_definitions,display_order,Display Order,Yes,1,,,,
custom_field_definitions,is_active,Active Status,Yes,TRUE,,,,
custom_field_definitions,created_at,Creation Date,Yes,,,,,
custom_field_definitions,updated_at,Last Update Date,Yes,,,,,
custom_field_values,id,Value ID,Yes,1,Primary Key,,,
custom_field_values,field_definition_id,Field Definition ID,Yes,,Foreign Key to custom_field_definitions,,,
custom_field_values,entity_type,Entity Type,Yes,"website, domain, server, client",,,,
custom_field_values,entity_id,Entity ID,Yes,5,ID of website/domain/server/client,,,
custom_field_values,field_value,Field Value,No,8.1,,,,
custom_field_values,created_at,Creation Date,Yes,,,,,
custom_field_values,updated_at,Last Update Date,Yes,,,,,
website_credentials,id,Credential ID,Yes,1,Primary Key,,,
